replacing_version,replaced_version_localName
http://rs.tdwg.org/plic/terms/version/country-2022-06-14,country-2022-02-23
http://rs.tdwg.org/plic/terms/version/stateProvince-2022-06-14,stateProvince-2022-02-23
http://rs.tdwg.org/plic/terms/version/stateProvince-2022-06-14,stateProvince-2022-02-23
http://rs.tdwg.org/plic/terms/version/county-2022-06-14,county-2022-02-23
http://rs.tdwg.org/plic/terms/version/county-2022-06-14,county-2022-02-23
http://rs.tdwg.org/plic/terms/version/municipality-2022-06-14,municipality-2022-02-23
http://rs.tdwg.org/plic/terms/version/locality-2022-06-14,locality-2022-02-23
http://rs.tdwg.org/plic/terms/version/endemicAtomized-2022-06-14,endemicAtomized-2022-02-23
http://rs.tdwg.org/plic/terms/version/EndemicTo-2022-06-14,EndemicTo-2022-02-23
http://rs.tdwg.org/plic/terms/version/EndemicIn-2022-06-14,EndemicIn-2022-02-23
http://rs.tdwg.org/plic/terms/version/endemicUnstructured-2022-06-14,endemicUnstructured-2022-02-23
http://rs.tdwg.org/plic/terms/version/habitatAtomized-2022-06-14,habitatAtomized-2022-02-23
http://rs.tdwg.org/plic/terms/version/habitatAndDistributionUnstructured-2022-06-14,habitatAndDistributionUnstructured-2022-02-23
http://rs.tdwg.org/plic/terms/version/Endemic-2022-06-14,Endemic-2022-02-23
http://rs.tdwg.org/plic/terms/version/Habitats-2022-06-14,Habitats-2022-02-23
http://rs.tdwg.org/plic/terms/version/Distribution-2022-06-14,Distribution-2022-02-23
http://rs.tdwg.org/plic/terms/version/habitatUnstructured-2022-06-14,habitatUnstructured-2022-02-23
http://rs.tdwg.org/plic/terms/version/interactionAtomized-2022-06-14,interactionAtomized-2022-02-23
http://rs.tdwg.org/plic/terms/version/SpeciesInteraction-2022-06-14,SpeciesInteraction-2022-02-23
http://rs.tdwg.org/plic/terms/version/InteractionSpeciesType-2022-06-14,InteractionSpeciesType-2022-02-23
http://rs.tdwg.org/plic/terms/version/invasivenessAtomized-2022-06-14,invasivenessAtomized-2022-02-23
http://rs.tdwg.org/plic/terms/version/invasivenessUnstructured-2022-06-14,invasivenessUnstructured-2022-02-23
http://rs.tdwg.org/plic/terms/version/origin-2022-06-14,origin-2022-02-23
http://rs.tdwg.org/plic/terms/version/presence-2022-06-14,presence-2022-02-23
http://rs.tdwg.org/plic/terms/version/persistence-2022-06-14,persistence-2022-02-23
http://rs.tdwg.org/plic/terms/version/distribution-2022-06-14,distribution-2022-02-23
http://rs.tdwg.org/plic/terms/version/harmful-2022-06-14,harmful-2022-02-23
http://rs.tdwg.org/plic/terms/version/countryCode-2022-06-14,countryCode-2022-02-23
http://rs.tdwg.org/plic/terms/version/stateProvince-2022-06-14,stateProvince-2022-02-23
http://rs.tdwg.org/plic/terms/version/stateProvince-2022-06-14,stateProvince-2022-02-23
http://rs.tdwg.org/plic/terms/version/county-2022-06-14,county-2022-02-23
