document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,definition,usage,notes,type,controlled value string,tdwgutility_organizedInClass,SKOS_inSchema,tdwgutility_repeatable,examples,database,vann_preferredNamespacePrefix,vann_preferredNamespaceUri,term_localName
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/Audience01-2021-02-23,Audience01-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Expert,"Professionals on Biodiversity (researchers, decision makers, students of higher levels, etc.). By training and experience they have a good knowledge of scientific terminology and taxonomic and nomenclatural issues.",,,http://www.w3.org/2004/02/skos/core#Concept,Expert,,Audience,,,plic,plic,http://rs.tdwg.org/plic/terms/,Audience01
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/Audience02-2021-02-23,Audience02-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Knowledgeable,"Public interest in the knowledge of living organisms but whose training and experience is not directly linked to knowledge of biodiversity, or to be enjoined, their training has not been directly related to biodiversity (professionals from other areas of knowledge, students, amateurs, etc.). Your level of interest is high but not usually use and know the terminology, taxonomy and scientific nomenclature",,,http://www.w3.org/2004/02/skos/core#Concept,Knowledgeable,,Audience,,,plic,plic,http://rs.tdwg.org/plic/terms/,Audience02
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/Audience03-2021-02-23,Audience03-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,General,"General Public (anyone interested in living organisms). Persons interested on biodiversity, frequently or timely, but lack the training, expertise or basic knowledge on terminology, taxonomy or scientific nomenclature",,,http://www.w3.org/2004/02/skos/core#Concept,General,,Audience,,,plic,plic,http://rs.tdwg.org/plic/terms/,Audience03
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/audiencesUnstructured-2021-02-23,audiencesUnstructured-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Unstructured Audiences,List audience codes separated by means of comma or /.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Audience,,,,plic,plic,http://rs.tdwg.org/plic/terms/,audiencesUnstructured
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/BaseElements-2021-02-23,BaseElements-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Base Elements,Basic information to identify the record.,,,http://www.w3.org/2000/01/rdf-schema#Class,,TaxonRecord,,,,plic,plic,http://rs.tdwg.org/plic/terms/,BaseElements
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/behavior-2021-02-23,behavior-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Behavior,"Responses, reactions or movements made by an organism in a particular situation.",,,http://www.w3.org/2000/01/rdf-schema#Class,,NaturalHistory,,,,plic,plic,http://rs.tdwg.org/plic/terms/,behavior
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/behaviorAtomized-2021-02-23,behaviorAtomized-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Atomized Behavior,"Responses, reactions or movements made by an organism in a particular situation.

",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,NaturalHistory,,,,plic,plic,http://rs.tdwg.org/plic/terms/,behaviorAtomized
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/behaviorUnstructured-2021-02-23,behaviorUnstructured-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Unstructured Behavior,"Responses, reactions or movements made by an organism in a particular situation.

",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,NaturalHistory,,,,plic,plic,http://rs.tdwg.org/plic/terms/,behaviorUnstructured
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/briefDescription-2021-02-23,briefDescription-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Brief Description,"Brief description which reflect only the diagnostic characters, i.e. those that distinguish a taxon from other related or close taxa.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,TaxonomicDescription,,,,plic,plic,http://rs.tdwg.org/plic/terms/,briefDescription
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/commonNamesAtomized-2021-02-23,commonNamesAtomized-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Atomized Common Names,"commonNames element in structured format.

",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,CommonNames,,,,plic,plic,http://rs.tdwg.org/plic/terms/,commonNamesAtomized
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/commonNames-2021-02-23,commonNames-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Common Names,"The name of the common name.
",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,CommonNames,,,,plic,plic,http://rs.tdwg.org/plic/terms/,commonNames
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/Name-2021-02-23,Name-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Name,"The name of the common name.
",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,CommonNames,,,,plic,plic,http://rs.tdwg.org/plic/terms/,Name
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/Language-2021-02-23,Language-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Language,"Language used to write the species information, ISO 639-2 according to GBIF Metadata Profile.

",,,"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
",,CommonNames,,,,plic,plic,http://rs.tdwg.org/plic/terms/,Language
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/UsedIn-2021-02-23,UsedIn-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Used In,"Location where de common name is used.

",,,"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
",,CommonNames,,,,plic,plic,http://rs.tdwg.org/plic/terms/,UsedIn
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/UsedBy-2021-02-23,UsedBy-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Used By,"Sometimes names used by one group of people are adopted by another.

",,,"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property


",,CommonNames,,,,plic,plic,http://rs.tdwg.org/plic/terms/,UsedBy
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/demographyAndThreat-2021-02-23,demographyAndThreat-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Demography And Threat,"Information concerning the demographic aspects of the species, as well as the conservation status",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,TaxonRecord,,,,plic,plic,http://rs.tdwg.org/plic/terms/,demographyAndThreat
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/demographyAndThreatUnstructured-2021-02-23,demographyAndThreatUnstructured-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Unstructured Demography And Threat,"demographyAndThreat element in unstructured format.
",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyandThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/,demographyAndThreatUnstructured
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/detailAtomized-2021-02-23,detailAtomized-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Atomized Detail,MiscDetail element in structured format ,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,NomenclatureandClassification,,,,plic,plic,http://rs.tdwg.org/plic/terms/,detailAtomized
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/detailUnstructured-2021-02-23,detailUnstructured-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Detail Unstructured,MiscDetail element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,MiscDetails,,,,plic,plic,http://rs.tdwg.org/plic/terms/,detailUnstructured
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/directThreats-2021-02-23,directThreats-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Direct Threats,"Direct threats are the proximate human activities or processes that have caused, are causing, or may cause the destruction, degradation, and/or impairment of biodiversity targets. Direct threats are synonymous with sources of stress and proximate pressures.",,"Examples: unsustainable fishing or logging. Threats can be past (historical), ongoing, and/or likely to occur in the future.",http://www.w3.org/2000/01/rdf-schema#Class,,ThreatStatus,,,,plic,plic,http://rs.tdwg.org/plic/terms/,directThreats
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/directThreatAtomized-2021-02-23,directThreatAtomized-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Atomized Direct Threat,"directThreats element in structured format.
",,,http://www.w3.org/2000/01/rdf-schema#Class,,ThreatStatus,,,,plic,plic,http://rs.tdwg.org/plic/terms/,directThreatAtomized
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/directThreatUnstructured-2021-02-23,directThreatUnstructured-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Unstructured Direct Threat,directThreats element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,ThreatStatus,,,,plic,plic,http://rs.tdwg.org/plic/terms/,directThreatUnstructured
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/dispersal-2021-02-23,dispersal-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Dispersal,"The permanent spreading of individuals away from each other not including return. Dispersal determines the range over which genetic mixing occurs, and thus, the degree of homogeneity and inbreeding in a population",,,http://www.w3.org/2000/01/rdf-schema#Class,,NaturalHistory,,,,plic,plic,http://rs.tdwg.org/plic/terms/,dispersal
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/DispersalAtomized-2021-02-23,DispersalAtomized-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Atomized Dispersal,Dispersal element in structured format,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Dispersal,,,,plic,plic,http://rs.tdwg.org/plic/terms/,DispersalAtomized
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/DispersalUnstructured-2021-02-23,DispersalUnstructured-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Unstructured Dispersal,Dispersal element in text block format,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Dispersal,,,,plic,plic,http://rs.tdwg.org/plic/terms/,DispersalUnstructured
