version,term_localName
http://rs.tdwg.org/acvariant/values/version/v-2020-08-25,v
http://rs.tdwg.org/acvariant/values/version/v001-2020-08-25,v001
http://rs.tdwg.org/acvariant/values/version/v002-2020-08-25,v002
http://rs.tdwg.org/acvariant/values/version/v003-2020-08-25,v003
http://rs.tdwg.org/acvariant/values/version/v004-2020-08-25,v004
http://rs.tdwg.org/acvariant/values/version/v005-2020-08-25,v005
http://rs.tdwg.org/acvariant/values/version/v006-2020-08-25,v006
http://rs.tdwg.org/acvariant/values/version/v007-2020-08-25,v007
http://rs.tdwg.org/acvariant/values/version/v008-2020-08-25,v008
