termList,term
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/acceptedNameUsage
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/acceptedNameUsageID
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/accordingTo
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/associatedMedia
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/associatedOccurrences
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/associatedOrganisms
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/associatedReferences
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/associatedSequences
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/associatedTaxa
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/basisOfRecord
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/bed
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/behavior
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/catalogNumber
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/class
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/collectionCode
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/collectionID
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/continent
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/coordinatePrecision
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/country
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/countryCode
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/county
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/dataGeneralizations
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/datasetID
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/datasetName
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/dateIdentified
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/day
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/decimalLatitude
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/decimalLongitude
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/disposition
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/dynamicProperties
